gene,DTB-188,PR-063,PR-038,PR-058,DTB-184,DTB-021,PR-051,PR-080
A1BG,0.4263892,0.5235169,1.078802,0.9314368000000001,0.7977525999999999,0.3880344,0.6577406000000001,1.029246
A1CF,0.026726900174644002,0.11505780000000002,0.030551500031674603,0.04484530512637001,0.043968509279462595,0.0186702031188,3.017859936183066,2.08925980394828
A2M,9.0828428,16.980182000000003,4.9287019999999995,5.4657504999999995,57.343725,14.028427700000002,18.779574899999997,8.3949131
AAAS,2.5901764999999997,3.541529106,3.08314193739,1.8066012999999999,3.0986332000000005,4.1384554,1.5190349606199998,3.4996678
AACS,2.748516,3.361459,3.7391374,3.2946882,4.350649,2.2161963,4.213707100000001,6.7427149
AADAT,4.575166,24.09522076,9.421884977,0.8780173002387621,4.5919430000000006,4.384745000000001,7.652192000000001,3.90252700008081
AAGAB,1.4497531,2.5111671324720004,2.393613,2.476339,2.2006540000000006,0.34647290000000003,1.8814715,2.528203
AAK1,6.114445099999998,13.676741999999999,18.173402,20.354421999999996,13.849965599999997,5.802191600000001,11.0704443,18.687592
AAMDC,2.6812599,10.618815,8.3289942,3.2977464,5.5766023,2.9308949999999996,4.077829,5.6167876
AAMP,1.0981082,1.239312,3.8860670000000006,0.9091579000000001,1.344516,1.8528364000000002,1.4853512100000001,2.2364391
AAR2,0.7434310000000001,3.0198270000000003,1.844923,1.839721,3.623592,2.1543056,1.2990396000000002,2.9843535999999995
AARS1,0.627898,2.9881459999999995,2.973367,1.503578,1.3699339999999998,1.2115310000000001,2.8339377,1.6468671
AARS2,0.2929478,0.905644,0.9493459999999999,0.2987732,0.6871585,0.056250800000000004,0.4392311,1.1900279999999999
AARSD1,2.6312813999999998,6.445759999999999,2.3125017999999997,1.0517085000000002,1.7518166999999998,1.1807420000000002,2.3024863000000004,4.6789459
AASDH,1.0050205,1.5465039999999999,0.60884559,1.3231854254739999,1.5357599000000002,0.8683356,0.6223539,1.074059264
AASDHPPT,0.782085,3.535713,1.392606,1.830238,2.250698,0.554882,1.952794,2.7946987000000005
AASS,0.685362197638,1.4910686999999998,4.3159891,3.5491377,8.0562351,1.4064079999999999,3.27534720078095,4.8480234
AATF,1.3042297,4.4715755,3.1112894,1.9374643999999999,2.2773173999999994,0.673536,2.0703749,2.8390969
ABAT,0.4682365,0.9297506999999999,1.061561,1.0866179999999999,0.8342799,1.2675796,0.9923683,1.1555898
ABCA1,1.284892,1.20805,2.5550012,0.8540744,3.1274169000000005,1.4209140000000002,5.605055999999999,2.1820200999999995
ABCA13,0.6595162999999999,0.2217585,1.2165784999999998,0.1095641,0.1568661,0.22486009999999995,0.15979439,1.00585562
ABCA2,7.836406430075,5.3467770970043,7.128148338869999,14.04064174203277,10.271331266767,4.82728526,4.6972310264681,5.2901651
ABCA3,1.819256453274,2.019384,1.3202190000000003,1.3655275004651508,3.0052129999999995,1.8961562,1.7190849999999998,4.0644034
ABCA5,2.4589807,4.8850974,7.0537107,3.002598,5.731759,1.3970323000000002,4.082871600097394,6.3891141000000005
ABCA6,0.8992112999999999,0.5968046,1.5531191999999998,0.32567660000000004,0.7525959999999998,1.137724,1.6972330000000002,1.3044537999999999
ABCA8,0.813597870230658,1.1030388,0.46712269700000003,0.437230300693143,1.6481694542,1.7816614,1.8817332,1.1367497
ABCA9,0.865969027978,1.66681530248695,1.6376997,1.4036072000000002,1.2942741000000002,0.9473927,2.953964,2.3250105
ABCB10,1.6962010000000003,1.7307000000000001,2.035983,1.918285,1.913875,0.208003,1.365489,3.18687
ABCB6,3.65781,2.5731587,3.6269318,1.46711810134518,3.3525089999999995,5.096945169999999,1.2882848,4.0541603
ABCB7,1.726276,3.092316,1.771465,1.2512103000642958,3.6763046999999998,1.5412142999999998,2.2768116000000003,3.933544223957
ABCB8,0.39757561999999996,1.0287491,1.6066230166400002,0.88361480020852,2.0805126,0.2988066,1.10061755906,2.340935
ABCB9,0.78000685,2.1663468999999997,0.8996225000000001,0.6309805,0.6110605,0.40076142,0.6827690000000001,1.6625333000000002
ABCC1,0.5477476,1.844182,0.8346031,0.5993552630000001,0.85560706,0.00820416,1.04922123,0.4494227069679588
ABCC10,0.5817293666819999,1.8961936000000001,1.9314437999999998,1.8975631000000002,2.7537981,0.6900246999999999,2.0756680000000003,2.9290932
ABCC11,0.2481238,0.07715219999999999,3.3664647999999997,0.31266996,0.22773300000000002,0.1404389,14.6375104,0.3019284
ABCC3,1.033535216865,1.3585067999999998,0.9116957282960001,1.3243603,1.59575289,0.8534988099999998,1.27744785,1.9348843277000003
ABCC4,11.1626263,8.796856,7.689009,10.654948,18.315312,4.167952,1.013125,7.502673
ABCC5,1.6331393,3.5242424179,10.038597000000001,7.582242399999999,4.134496,2.559385147461,5.721894,4.301492700000001
ABCC8,0.31218549,0.490066,5.507371599999999,1.1390815499999998,0.102934257344,1.66588249749856,0.1480497,0.1807335
ABCC9,1.3242138999999997,1.7187551,2.5651743000000002,0.9831276000000001,6.3043830000000005,2.6289193,2.1716106,2.5745525
ABCD3,2.0207218,1.6622545000000002,6.657710000000001,3.458355,5.1536067999999995,2.9188713,4.2100341,6.208223
ABCD4,1.2214648000000001,7.4976842999999995,3.8188617967589993,3.6465149000000006,2.0729531999999997,1.069616,2.9977634,4.0800332
ABCE1,6.0189555,22.321647,15.261713415775002,11.415472000000001,16.340895000000003,5.835841,15.388273008646802,14.373992
ABCF1,0.9844139999999999,4.693269,2.98230700474737,0.9769065000000001,0.610136,0.4113846,0.580406,3.3946685
ABCF2,1.068107,2.2475389999999997,3.1629759999999996,1.5491640000000002,2.386477,0.4781018,1.517521,4.526796999999999
ABCF3,2.07354294,6.409968000000001,5.9749174,6.685338699999999,2.339903,1.4627109334162,3.4709872452034998,4.710671832999999
ABCG1,0.5634432,0.9375378000000001,1.8572327000000002,1.3070865,2.21209297393107,0.35125462259499995,1.5121052,0.7558534000000001
ABCG2,0.5017823,0.292559,2.35296026119,0.8175638,0.562617,1.160186,0.927694,0.715135
ABHD10,3.0492005,6.12247,3.840942,5.283388,5.290291000000001,1.544496,3.9509110000000005,6.672109999999999
ABHD11,4.1794382807399995,2.682635031775,7.52791555,1.909549,2.86051017745,0.57069918847025,1.5230289,4.450032087250001
ABHD12,1.3635736,5.130199,6.082585300000001,14.055267,3.132747,0.3192146,2.3223854999999998,3.3078169999999996
ABHD13,0.208063,0.8907579999999999,1.0091,0.407194,0.7107600000000001,0.0487892,0.434619,0.713665
ABHD14A,0.758581,6.5952709999999986,1.2590189399999998,3.4742176,2.5402841,0.40412539999999997,1.826438,3.7715949
ABHD14B,2.3722314000000004,11.348479,2.248702,5.9410308,4.826281,1.8067856800000002,3.2962529428600003,3.5078195999999995
ABHD15,0.186055,0.581921,0.799429,0.464005,0.333356,0.025818099999999997,0.6707569999999999,0.802755
ABHD17B,0.7464731,1.229328,2.0067806000000004,2.0074106,4.175969,0.634677,1.5817767999999999,2.8444030000000002
ABHD17C,0.9658078000000001,0.40810830000000003,1.8451393,0.9440189999999999,3.8506577999999996,0.3188214,1.97026,2.443942
ABHD18,0.6404504,4.69488264,1.8771368000000002,2.1088459999999998,2.44172,1.0329184,2.032753,3.3061160005465697
ABHD2,11.5258108,9.283814,27.122113,14.944059999999999,19.653482136999994,4.4111005,16.515304,21.3148048
ABHD3,0.8656847000000001,1.6828189999999998,1.6851069999999997,1.6828533,2.1335504000000003,0.22582249999999998,2.1055813999999997,2.8062890000000005
ABHD4,1.6949742000000003,3.970135,3.3680662999999997,2.4565007,4.101685,2.576306,3.4409177,4.3111348
ABHD5,1.1937812,4.69493,2.4789220000000003,1.8598855000000003,2.5540363999999998,0.823602,1.7382836,4.387427
ABHD6,0.7969060000000001,2.446396,1.555701,0.7680078,1.1068033999999998,0.5903051,1.6560837,2.6362535
ABI1,4.42800795084293,8.052640400000001,6.657154819999999,3.9143913,5.5935072022900005,3.2240821584,4.4853925,5.8174022999999995
ABI2,3.3909152000000002,6.150085999999999,5.0441959999999995,4.3803515,8.5537919,3.6926624,7.7037507000000005,8.3764156
ABI3BP,9.701626,11.765323,4.7482689,5.68226678,3.9547643999999993,8.933960800000001,12.7115844,8.3764262
ABL1,2.438262,6.668141,3.5809670000000002,2.874917,6.052755,1.4555802,1.910822,3.396372
ABL2,0.7704222089999999,2.8199195,1.8315334,1.0869931001999091,3.0832422,1.2186758785644798,1.4429849000000001,3.1476363000000003
ABLIM1,2.1648953,2.560191886,5.615432200000001,1.0060597,2.7756377,4.68485,4.2443746,7.391026
ABO,0.27254,0.328286,0.44996899999999995,0.38603000000000004,0.198401,0.31769400000000003,0.38576340000000003,0.487566
ABRACL,0.593236,2.856504,3.59764,0.5397894999999999,2.730654,0.23291399999999998,0.976422,1.659211
ABRAXAS1,0.961611,2.586472,1.777002,3.2204387,1.5905921,0.6535006,1.2858176000000001,2.58220500392271
ABRAXAS2,0.836248,1.06255,1.51911,0.994891,1.15439,0.366233,1.04295,1.86697
ABT1,0.326921,1.51075,1.0490899999999999,0.509434,0.6630659999999999,0.0345964,0.294443,0.624821
ACAA1,1.2360656,7.121407,3.156981,2.65692589,1.4939742999999999,1.2383183,1.4913944000000001,3.1566947
ACAA2,1.2034044,2.7705651,2.7165,4.6655299999999995,3.0695609,1.8615764,1.9618845999999999,9.567487
ACACA,4.824626299999999,6.747196,17.753538099999997,25.922433920000003,6.154097899999999,2.3300937299999998,14.206853200000001,11.4459912
ACACB,1.6418552,1.8546073007908506,2.6378629,1.6382719000000003,3.6661397,1.08416561,2.01973940907105,2.649831
ACAD10,1.1939009999999999,5.1931882,1.8916453000000002,1.6403000520609998,1.7929904135002999,2.8225329,3.2136943,4.377332140300001
ACAD11,0.415011,2.0953460301186,1.8692014,1.77318682,1.3620461,1.2563090000000001,1.5813887000000002,1.0965734999999999
ACAD8,0.865602,3.9168489199999996,5.5665746,2.6086961,1.8312775000000001,1.9219023000000004,2.5111646,2.26113392
ACAD9,0.72635094269,2.9880529,3.5714759999999997,4.43791840366181,1.9253857,1.1325287,3.0102282999999996,3.1033001
ACADL,15.800854,0.37216360000000004,1.296166,0.31395530000000005,2.318973,0.0731803,2.822561,1.3593179
ACADM,8.1675352,7.58056768,14.6230834132,8.186862499999998,7.066995300000001,1.7533381987998,6.8172514388800005,11.322688148
ACADSB,3.984858,1.713177,3.265259,3.5241838999999997,1.163222,2.663545,3.0565559999999996,3.0772470000000003
ACADVL,14.3777452,23.740195449999998,25.7063680345,14.358466080541827,18.4125736,18.960389099999993,7.0556192341170005,11.657103099999999
ACAP1,1.0739103,4.283825523999999,2.1787545,1.0365274,1.1651026,1.3815,1.5075188,2.0719048
ACAP2,3.6784093,8.2542917,7.488729200000001,10.509428199999999,7.054375600000001,5.956113799999999,7.3434912,7.589370400000001
ACAP3,1.05904710122135,3.7947596999999997,1.4731737,0.563730019,1.43333905,1.9860560999999999,0.8750847,0.98725982
ACAT1,8.292684600000001,23.501825,15.521429999999999,4.803441100000001,8.784051999999999,3.4446428000000004,7.391386400000001,7.263973999999999
ACAT2,0.73529,2.454083,1.8673359999999999,3.2355840000000002,2.5144610000000003,0.0881341,1.22983,2.451044
ACBD3,2.0424420000000003,3.05762,5.556029,4.9622720000000005,3.6492199999999997,1.9413200000000002,2.39522,2.76867
ACBD5,3.8274428,7.36877100718292,7.955078000000001,3.0072792999999995,3.7668019999999998,0.70975969,3.7868057999999998,5.0027329
ACBD6,2.5541036,10.089853999999999,3.9083759999999996,3.5121650000000004,6.04188,1.9676049999999998,5.4982880000000005,8.628617000000002
ACCS,0.6039188000000001,4.681827199999999,1.2876763999999998,1.8639366999999998,2.3660255,1.0215377,2.4200066,5.0014345
ACE,0.1133934,0.5799442,0.49610760000000004,0.24343692,2.074723,0.497801,1.1859653000000001,3.023994900000001
ACER2,1.28803,0.523289,0.529842,0.195689,2.07125,1.26194,0.8608389999999999,1.56633
ACER3,1.7730349,7.688582,4.988811999999999,5.6076895,2.5943569,0.7975327999999999,1.8463895999999997,2.6804463000000003
ACIN1,5.3297878,13.548166499999999,5.8085907,7.70861651,6.7113722000000005,7.144210964999999,6.034378160000002,10.133324299999998
ACKR2,0.35894590000000004,1.310467,0.726504,0.5979143,0.407957,0.439326,0.4631474,1.0302105496499998
ACLY,5.909712000000001,6.547667514179599,9.591601,14.983954625999997,12.478476303503998,3.130477,8.687295231000002,9.024218000000001
ACO1,1.54192618,1.7806285,2.0612793900999997,1.3969826200000002,3.497677,0.9465389999999999,1.6488903799999999,2.0426482900000003
ACO2,2.1457755,3.897551,4.0451929,2.4406418999999997,7.830166800000001,0.462071,3.3697679,5.600131
ACOT11,0.3442522,0.698796,0.6209885,0.41637139999999995,0.5396269,0.3636543,0.6906533800000001,1.1828288
ACOT13,1.4352522,9.257811,2.802802,3.4704479999999998,3.442293,0.8064784,2.4063630000000003,3.8510570000000004
ACOT2,0.740216,3.7331499999999997,1.746956,1.5254569999999998,1.0968621,0.4212105,0.852374,0.9138258
ACOT7,1.313002,1.17767,1.5642069033268,1.0893636,1.4528462999999996,0.12703,0.7149656063809999,1.7692555
ACOT8,0.4909567,1.9582439999999999,1.8891322,1.4812147,1.6846997004205346,0.91146172451,1.1631528999999998,1.3925422950000002
ACOT9,1.5699486000000002,2.3996742,2.5868281,0.7172222,1.9656789,0.44497930999999996,1.5307012999999998,1.631187
ACOX1,1.7000964,3.7423794000000004,4.179859526191258,5.175741400000001,5.8480329,1.1584968,3.8493066031107803,5.845814999999999
ACOX3,0.6171167000000001,2.4735763,4.603859499999999,1.0989279,1.2644142999999999,0.4060701,1.9701678,1.2316322
ACP1,3.3459632999999998,14.428936899999998,4.801559999999999,10.833537999999999,12.538112000000002,1.0481673,6.692993019999999,13.406417500000002
ACP2,0.70919,2.2341599999999997,1.2963844,1.1605103,2.8234610000000004,0.26621,1.4739200000000001,0.654281
ACP3,29.111469999999997,29.268372000000003,393.24329000000006,406.12659999999994,71.3761767,55.03456559999999,29.0716959,57.3084065
ACP5,0.277316,1.5735519999999998,4.698646800000001,0.48366070000000005,3.6915565871000005,15.468361900000001,1.6581036,4.0804880599999995
ACP6,0.9029594000000001,3.9522340000000002,2.9428799999999997,1.3646804000000001,2.5872469999999996,1.36299759,1.5729906,2.202995
ACSF3,2.914792,6.711740799999999,2.0200943000000002,1.8890977455773,1.314659,3.6942138,1.1709571,5.059094933
ACSL1,4.9400824000000005,24.050921000000002,30.798121000000002,12.808437000000001,32.445847,1.3196721,22.366871,7.621425
ACSL3,42.7444246,16.474177,79.77032510000001,12.894955800000002,23.079910000000005,13.204156,24.139757,14.021226899999998
ACSL4,0.41353169999999995,2.270827,0.3994818,0.42755336147,2.3315461,0.8139560000228542,0.9703530999999999,0.9595815000301879
ACSL5,1.0201901300000003,1.0175008,2.3442190000000003,0.7752707999999999,1.9683917,1.0814838999999998,5.814068151266,6.633849842
ACSM1,4.593361,0.036102300000000004,20.880190000000002,2.07795,0.18590412,0.0809374,0.0506613,0.3159388415
ACSM2A,0.8341120000000001,0.9679270000000001,2.2986660000000003,1.9129187,1.6405459999999996,1.1206179,1.72062767,2.1723646
ACSM2B,0.80880116,1.332682,0.9502851000000001,0.73654498,0.7279526000000001,1.0865214699999999,0.6836947,1.721151
ACSM3,5.475718400000001,4.3926247,4.723921000000001,3.4098672,4.4610964,1.6168419600000001,5.885815499999999,7.5713441999999995
ACSS1,1.2261882,0.7902871,4.907613,2.6816649999999997,1.91626,0.29919039999999997,0.6650742000000001,1.2907260000000003
ACSS2,1.9104389,0.733952,1.6749545000000001,2.166473,1.79875331,1.7892854999999996,2.8104101999999997,2.9265091
ACSS3,0.8632140000000001,0.2853657,0.43899900000000003,0.39941523999999995,0.7049742207218002,1.3237689,0.5988155000000001,1.094749
ACTB,65.2085912,87.86630200616179,84.00339707174939,20.376818999999998,8.9679543,48.16662590000001,31.80072330000001,24.854291199999995
ACTG1,5.9371576,30.246905,12.4740561,22.703789,6.816127300000001,8.0220223,17.606426329999998,17.793724
ACTL6A,3.2838304000000003,10.869752,9.0249908,14.7083049,11.351617683290002,2.3237265,6.123979909999998,9.948831
ACTN1,1.3367879,3.9913079999999996,1.80243703,2.5201339110000003,3.3469754,1.7822977999999998,5.173705900000001,4.413628687593075
ACTN4,4.41717054,3.42712116,5.729180199999999,4.734817300000001,6.5241154,4.0151566999999995,3.4707616000000003,3.9837485
ACTR10,2.1236233,7.027367999999999,7.472103634438999,4.70802440589,5.0786814563,0.8482077,2.91018664,3.9749317
ACTR1A,1.8443964,2.9837399999999996,3.8791471000000004,5.9579974,3.1216875999999996,1.1672453999999999,2.9469900000000004,3.5981572
ACTR1B,1.04615,2.8529288999999998,4.8787951,2.62312,3.9207701,0.777378,3.2917317999999995,4.1061368
ACTR2,5.0537936,11.743051999999999,15.178367,10.034245000000002,17.6118514,3.2443400000000002,13.451155000000002,13.454643
